キー	旧・英文	旧・訳	新・英文	新・訳
coward	He was accused of being a coward for refusing to participate in the dangerous mission.	彼は危険な任務に参加しなかったために、臆病者だと非難された。	Nobody called him a coward after he admitted his mistake.	彼が自分の過ちを認めた後、誰も彼を臆病者と呼ばなかった。
cowardly	It was cowardly to hide behind others and avoid taking responsibility for his actions.	自分の行動の責任を回避するために、他の人の後ろに隠れたのは卑怯な行為だった。	Running away from the fight was a cowardly choice, he admitted.	その喧嘩から逃げたのは卑怯な選択だったと、彼は認めた。
coworker	My coworker helped me understand the complex project requirements and timelines.	同僚は、複雑なプロジェクトの要件とスケジュールを理解するのを手伝ってくれた。	She invited a coworker to join her for lunch downtown.	彼女は繁華街で一緒に昼食をとろうと同僚を誘った。
cozy	The cabin had a cozy fireplace and comfortable armchairs, perfect for relaxing after hiking.	そのコテージには居心地の良い暖炉と快適なアームチェアがあり、ハイキングの後にリラックスするのに最適だった。	The small cabin felt cozy despite the freezing weather outside.	凍えるような外の天気にもかかわらず、その小さな小屋は居心地がよかった。
crack	A small crack appeared in the windshield after the hailstorm.	雹の嵐の後、フロントガラスに小さなひびが入った。	The old bridge slowly cracked under the weight of the trucks.	その古い橋はトラックの重みでゆっくりと割れた。
crack_up	After hearing the hilarious joke, everyone in the room started to crack up with laughter.	面白いジョークを聞いた後、部屋にいる全員が大笑いしました。	His silly jokes always crack up the whole class.	彼のばかげた冗談はいつもクラス全体を大笑いさせる。
cradle	Rocking the baby gently in its cradle, she sang a soft lullaby.	彼女は赤ちゃんのゆりかごで優しく揺らしながら、穏やかな子守唄を歌った。	She gently rocked the wooden cradle until the baby slept.	彼女は赤ちゃんが眠るまで木製のゆりかごをそっと揺らした。
craft	She spent hours honing her craft as a potter, creating beautiful and unique ceramics.	彼女は陶芸家としての技術を磨くために何時間も費やし、美しくユニークなセラミックを作り上げた。	The museum exhibited local craft passed down for generations.	その博物館は代々受け継がれてきた地元の工芸品を展示した。
craftsman	The skilled craftsman meticulously carved the intricate details into the wooden sculpture.	熟練した職人は、木彫りの彫刻に複雑なディテールを丁寧に彫り込んだ。	A skilled craftsman carved the wooden statue by hand.	熟練した職人がその木像を手作業で彫った。
cram	Many students cram for their exams the night before, hoping to memorize everything quickly.	多くの学生は、一夜漬けで試験に備え、全てを素早く暗記しようとします。	Many students cram all night before the final exam.	多くの学生は期末試験の前に一晩中詰め込み勉強をする。
cramp	A sudden leg cramp forced her to stop running during the marathon.	突然の足の痙攣が、彼女のマラソン中のランニングを中断させた。	A sudden cramp in her leg woke her at midnight.	脚の突然の痙攣が真夜中に彼女を起こした。
crash	The car crash caused significant damage to both vehicles involved.	その自動車事故は、両方の車両に大きな損害を与えました。	The car crashed into a wall after skidding on ice.	その車は氷の上で滑った後に壁に激突した。
crave	After weeks of dieting, I really crave a slice of chocolate cake.	何週間もダイエットした後、チョコレートケーキの一切れを切望するようになった。	Exhausted travelers often crave a hot meal and rest.	疲れ果てた旅行者はしばしば温かい食事と休息を切望する。
crawl	The baby began to crawl across the living room floor, exploring everything in sight.	赤ちゃんのりは、目に見えるものをすべて探検しながらリビングの床を這って進み始めました。	The soldier crawled slowly through the muddy trench at night.	その兵士は夜、泥だらけの塹壕を這って進んだ。
crazy	The concert was so energetic that the crowd went absolutely crazy.	コンサートはとてもエネルギッシュで、観客は大騒ぎになった。	My little sister has been crazy about dinosaurs since she was four.	妹は4歳のときから恐竜に夢中である。
create	The artist hopes to create a sculpture that inspires awe and wonder in viewers.	その芸術家は、鑑賞者に畏敬の念と驚きを与える彫刻を創り出したいと思っています。	The artist used old newspapers to create a striking sculpture.	その芸術家は古い新聞を使って印象的な彫刻を創造した。
creativity	Her creativity shines through in her innovative designs and unique artistic style.	彼女の創造性は、革新的なデザインと独自の芸術的スタイルを通して際立っている。	The workshop is designed to boost creativity among young engineers.	そのワークショップは若い技術者の創造性を高めるよう設計されている。
creature	The mysterious creature lurking in the shadows sent shivers down my spine.	影に潜む謎の生き物は私の背筋に寒気を走らせました。	Deep in the cave, they discovered a strange glowing creature.	洞窟の奥深くで、彼らは光る奇妙な生き物を発見した。
credibility	The journalist's credibility was damaged by the false information in his report.	ジャーナリストの報道にあった誤った情報によって、彼の信用が損なわれた。	The scandal seriously damaged the senator's credibility among voters.	そのスキャンダルはその上院議員の有権者の間での信用を著しく傷つけた。
credible	Although unlikely, his story seemed credible after he provided supporting evidence.	信じがたいものの、彼は証拠を提示したことで彼の話は信頼できるようになった。	Reporters need credible sources before publishing a major story.	記者は大きな記事を発表する前に信用できる情報源を必要とする。
credit	The company gave him credit for the successful project, recognizing his hard work and dedication.	その会社は彼の成功したプロジェクトに対して、彼の努力と献身を認めて彼に功績を与えた。	She paid for the flight with her international credit card.	彼女はその航空券を国際クレジットカードで支払った。
creditor	The company’s main creditor is demanding immediate repayment of the outstanding loan.	同社の主な債権者は、未払いローンの即時返済を求めている。	The bankrupt company still owed money to several creditors.	その破産した会社はいまだに複数の債権者に借金があった。
creed	Her creed was to always treat others with kindness and respect.	彼女の信条は常に他人を優しさと思いやりをもって扱うことでした。	Respecting other people's creed is essential in a diverse society.	多様な社会では他人の信条を尊重することが不可欠だ。
creep	A shiver ran down her spine as she felt something slowly creep across the floor.	彼女は床を這うような何かが近づいてくるのを感じて、背筋がゾッとした。	A thief crept silently into the dark office at midnight.	泥棒は真夜中に暗いオフィスへ静かに忍び込んだ。
crest	The surfer rode the wave down from the crest, enjoying the thrilling descent.	サーファーは波の頂上から乗り降りし、スリル満点の下降を楽しんだ。	Climbers finally reached the crest of the steep mountain ridge.	登山者たちはついに険しい山の尾根の頂上に到達した。
crew	The ship's crew worked tirelessly to prepare for the long voyage across the ocean.	船員の乗組員は、広大な海を渡る長い航海に備えるために懸命に働いた。	The entire crew abandoned the sinking ship just in time.	乗組員全員が沈みゆく船をぎりぎりのところで放棄した。
crime	Rising property crime rates have prompted local officials to increase police patrols in the area.	犯罪率の上昇を受けて、地方当局は地域の警察のパトロールを強化するようになりました。	The city's crime rate dropped after the new policy.	新しい政策の後、その都市の犯罪率は下がった。
criminal	The police are searching for a criminal who robbed the local bank last night.	警察は昨夜地元の銀行を強盗した犯罪者を捜しています。	Police finally arrested the criminal responsible for the string of robberies.	警察はついに一連の強盗事件の犯人を逮捕した。
crisis	The company is facing a financial crisis and needs to implement drastic cost-cutting measures.	その会社は経済危機に直面しており、劇的なコスト削減策を実施する必要がある。	The sudden crisis forced the government to act within hours.	突然の危機は政府に数時間以内の対応を迫った。
crisp	The autumn air made the fallen leaves wonderfully crisp underfoot.	秋の空気は落ち葉を足の下で素晴らしいパリパリ感にしました。	The freshly baked bread had a wonderfully crisp golden crust.	焼きたてのパンは見事にパリパリした黄金色の皮をしていた。
criteria	The selection committee established clear criteria for choosing the scholarship winners.	選考委員会は奨学金受賞者の選定のための明確な基準を確立しました。	The judges set clear criteria before the competition began.	審査員たちは大会が始まる前に明確な基準を設けた。
criterion	The main criterion for acceptance into the program is a strong academic record.	プログラムへの入学の主な基準は、優れた学業成績です。	Price alone should not be the only criterion for hiring.	価格だけが採用の唯一の基準であるべきではない。
critic	A food critic's review can significantly impact a restaurant's reputation.	食の批評家のレビューはレストランの評判に大きな影響を与えることがあります。	A harsh critic questioned every decision made by the mayor.	その厳しい批判する人は市長の下したあらゆる決定に疑問を呈した。
critical	The patient’s condition is critical, requiring constant monitoring by medical staff.	患者の状態は深刻で、医療スタッフによる絶え間ない監視が必要です。	Several parents were critical of the school's new grading policy.	何人かの保護者はその学校の新しい採点方針に批判的だった。
critically	He critically analyzed the politician's speech for hidden agendas and inconsistencies.	彼は政治家の演説を隠れた意図や矛盾点について批評的に分析しました。	The professor critically examined every argument in the student's essay.	その教授は学生のエッセイのあらゆる論点を批評的に検討した。
criticism	Despite the harsh criticism, she remained dedicated to improving her artwork.	厳しい批判にもかかわらず、彼女は自分の芸術作品を改善することに専念し続けました。	The novel received harsh criticism from several literary critics.	その小説は複数の文芸評論家から厳しい評論を受けた。
criticize	Many reviewers criticize the film's plot for being overly predictable and cliché.	多くの批評家は、映画のプロットがあまりにも予測可能で陳腐であると批判しています。	Many viewers criticized the movie for its predictable ending.	多くの視聴者はその映画の月並みな結末を批判した。
crocodile	Tourists were warned to keep a safe distance from the crocodile in the river.	観光客には川のワニから安全な距離を保つように警告されました。	A large crocodile lay motionless near the muddy riverbank.	大きなワニが泥だらけの川岸の近くでじっと横たわっていた。
crooked	The old fence was noticeably crooked, leaning precariously toward the garden path.	古いフェンスは目に見えて曲がっており、庭の道に危険なほど傾いていました。	Years of storms left a crooked line across the old fence.	何年もの嵐がその古いフェンスを横切る曲がった線を残した。
crop	This year's wheat crop was significantly smaller due to the drought conditions.	今年の小麦の収穫量は干ばつの影響で大幅に減少しました。	Farmers lost most of their crop to the sudden drought.	農家は突然の干ばつでほとんどの作物を失った。
cross	Be careful when you cross the street; always look both ways for traffic first.	横断するときは注意してください。必ず最初に両方向の交通を確かめてください。	After school ended, the children carefully crossed the busy street.	放課後、子供たちは忙しい通りを注意深く横切った。
cross_out	Please cross out any incorrect information before submitting your application form.	申請書を提出する前に、不正確な情報はすべて線を引いて消してください。	She quickly crossed out the wrong answer on her test.	彼女はテストの間違った答えをすぐに消した。
crouch	The deer began to crouch low in the undergrowth, sensing danger nearby.	鹿は近くに危険を感じて、茂みの中で身を低くしゃがめ始めました。	The photographer crouched behind the bush to get a better shot.	その写真家はより良い写真を撮るために茂みの後ろでしゃがんだ。
crowd	A large crowd gathered to watch the fireworks display over the city skyline.	大規模な群衆が、街のスカイラインの上に打ち上げられる花火を見に集まりました。	A huge crowd gathered outside the stadium before kickoff.	巨大な群衆がキックオフ前にスタジアムの外に集まった。
crucial	Having a strong work ethic is crucial for success in any field.	どんな分野でも成功するためには、強い仕事への倫理観が重要です。	Getting enough sleep is crucial for teenagers' mental health.	十分な睡眠を取ることは十代の若者の精神的健康にとって重大だ。
crude	The artist’s initial sketches were crude, but showed great potential for refinement.	芸術家の最初のスケッチは大まかなものだったが、洗練の可能性を秘めていた。	His first sketch was crude but full of raw energy.	彼の最初のスケッチは雑だったが生の活力に満ちていた。
cruel	His cruel remarks deeply hurt her feelings and caused considerable distress.	彼の残酷な発言は彼女の感情を深く傷つけ、大きな苦痛を与えました。	Locking a puppy outside all winter seems incredibly cruel.	子犬を冬中外に閉じ込めておくのは非常に残酷に思える。
cruise	We're planning to cruise around the Greek islands next summer for our vacation.	私たちは来夏、バカンスでギリシャの島々をクルーズ旅行する予定です。	The elderly couple decided to cruise around the Mediterranean coast.	その年配の夫婦は地中海沿岸を遊覧航海することに決めた。
crumble	The old building began to crumble after years of neglect and harsh weather.	その古い建物は長年の放置と厳しい天候のため崩れ始めました。	The ancient wall began to crumble after centuries of rain.	その古代の壁は何世紀もの雨の後でぼろぼろになり始めた。
crummy	The hotel room was crummy, with peeling wallpaper and a musty smell.	そのホテルの部屋は、壁紙が剥げていてカビ臭く、ひどい状態だった。	We spent the night in a crummy motel beside the highway.	私たちは高速道路沿いのいやなモーテルで一晩過ごした。
crush	She felt a sudden crush on the new student with kind eyes and a warm smile.	彼女はその優しい目と温かい笑顔の新しい生徒に突然恋心を抱いた。	The falling rock nearly crushed the hiker's left leg.	落下した岩はもう少しでそのハイカーの左足を押しつぶすところだった。
crust	The pizza’s crust was perfectly golden brown and delightfully crispy.	そのピザの生地は完璧な黄金色で、とてもサクサクしていました。	Scientists drilled deep to study the composition of Earth's crust.	研究者たちは地球の地殻の成分を調べるために深く掘削した。
cry	The sad movie made several audience members cry during the ending scene.	その悲しい映画は、結末のシーンで観客の一部の人が泣かせた。	The frightened child began to cry out for help in the dark.	怖がった子供は暗闇の中で助けを求めて叫び始めた。
crystal	The chandelier featured a stunning arrangement of crystal pendants, reflecting the light beautifully.	シャンデリアには息をのむようなクリスタルのペンダントが施され、光を美しく反射していました。	Salt forms tiny crystal structures as the water evaporates.	水が蒸発するにつれて塩は小さな結晶構造を形成する。
cue	The conductor gave a cue to the orchestra, signaling them to begin playing.	指揮者はオーケストラに演奏開始の合図を送りました。	The actor waited nervously backstage for his cue to enter.	その俳優は舞台裏で登場する合図を緊張しながら待った。
cuisine	Italian cuisine is renowned for its fresh ingredients and simple, flavorful dishes.	イタリア料理はその新鮮な食材とシンプルで風味豊かな料理で有名です。	The restaurant is famous for its authentic regional cuisine.	そのレストランは本場の地方料理で有名だ。
culprit	After a lengthy investigation, police finally identified the culprit who stole the valuable painting.	長期にわたる捜査の結果、警察はついに貴重な絵画を盗んだ犯人を特定しました。	Investigators soon identified the culprit behind the office theft.	捜査官たちはすぐにオフィスの盗難事件の犯人を特定した。
cult	Many people are drawn to certain fitness routines as a cult of personality develops around popular instructors.	多くの人が人気インストラクターのカリスマ性に惹かれ、ある種の信仰集団のような状態になる。	Ancient farmers in the region practiced a cult devoted to the sun.	その地域の古代の農民たちは太陽への崇拝を実践した。
cultivate	The gardener carefully cultivated the soil, preparing it for planting new seeds.	庭師は注意深く土を耕し、新しい種子を植える準備をした。	Local farmers cultivate rice across these terraced mountain fields.	地元の農家はこれらの段々畑で米を耕作する。
culture	Visiting museums is a great way to learn about the history and culture of a new country.	美術館に行くことは、新しい国の歴史と文化について学ぶ素晴らしい方法です。	Living abroad taught her to respect cultures very different from her own.	海外で暮らした経験は，彼女に自分とはまったく違う文化を尊重することを教えた。
cumulative	The cumulative effect of years of pollution has significantly damaged the local ecosystem.	長年にわたる汚染の累積的な影響は、地域の生態系に深刻な被害を与えました。	Small daily habits can produce a huge cumulative effect over years.	小さな日々の習慣は何年もかけて非常に大きな累積する効果を生み出すことがある。
cunning	The cunning fox managed to outsmart the farmer and steal a chicken from the coop.	ずる賢い狐は農家を出し抜き、鶏小屋からニワトリを盗みました。	The cunning fox slipped quietly past the sleeping guard dogs.	その悪賢いキツネは眠っている番犬たちを静かにすり抜けた。
curb	The city implemented new measures to curb traffic congestion during rush hour.	市はラッシュアワーの交通渋滞を緩和するための新しい対策を実施しました。	New regulations aim to curb pollution from factories downtown.	新しい規制は都心の工場からの汚染を抑制することを目指している。
cure	Researchers are working tirelessly to cure diseases like cancer and Alzheimer's.	研究者たちは、癌やアルツハイマー病のような病気を治すために休むことなく取り組んでいる。	This new drug may eventually cure several rare diseases.	この新薬はいずれいくつかの希少疾患を治療するかもしれない。
cure_a_of_b	The therapist hoped to cure her patient of his debilitating anxiety through cognitive behavioral therapy.	セラピストは、認知行動療法を通して彼の深刻な不安を克服させることを願っていました。	Doctors hope the treatment will cure him of his addiction.	医師たちはその治療が彼の依存症を治すことを望んでいる。
curfew	The city imposed a curfew last night due to the ongoing protests.	都市は昨夜、継続的な抗議活動のため門限を設けました。	Her strict parents set a curfew of ten o'clock every night.	彼女の厳格な両親は毎晩10時の門限を設けた。
curiosity	Her curiosity about ancient civilizations led her to become an archaeologist.	彼女の古代文明への好奇心から、彼女は考古学者になることにしました。	Children often explore the world driven purely by curiosity.	子供たちはしばしば純粋な好奇心に突き動かされて世界を探求する。
curious	The curious cat cautiously approached the unfamiliar object on the doorstep.	好奇心の強い猫は、玄関先の見慣れない物体に注意深く近づきました。	The curious toddler kept opening every drawer in the kitchen.	その好奇心が強い幼児は台所のあらゆる引き出しを開け続けた。
currency	The exchange rate significantly impacted the value of their foreign currency holdings.	為替レートは彼らの外貨保有価値に大きな影響を与えました。	Many tourists exchange currency as soon as they land.	多くの観光客は着陸するとすぐに通貨を両替する。
current	The current research suggests a significant impact of climate change on coastal ecosystems.	現在の研究は、気候変動が沿岸生態系に大きな影響を与えていることを示唆しています。	The current situation at the factory worries many local workers deeply.	工場の現在の状況は多くの地元労働者を深く悩ませている。
curriculum	The school's curriculum includes mandatory courses in math, science, and English.	学校のカリキュラムには、数学、科学、英語の必修科目が含まれています。	That school recently updated its curriculum to include coding classes.	あの学校は最近プログラミングの授業を含めるようカリキュラムを更新した。
curse	The old sailor warned us not to sail near the rocks, claiming they were under a curse.	その年老いた船員は、岩の近くに航海するなと警告した。そこには呪いがかけられているという。	Some villagers believed the drought was an ancient curse.	一部の村人たちはその干ばつを古代の災いの元だと信じていた。
curve	The road has a sharp curve ahead, so please drive carefully and slow down.	この先は急カーブがあるので、注意して速度を落として運転してください。	The driver slowed down before the sharp curve ahead.	運転手は前方の急なカーブの前で速度を落とした。
custody	After a lengthy trial, the judge awarded custody to the mother.	長期裁判の末、裁判官は親権を母親に与えました。	After the divorce, she was granted custody of both children.	離婚後、彼女は両方の子供の親権を与えられた。
custom	Many families have the custom of exchanging gifts on Christmas Eve.	多くの家庭では、クリスマスイブに贈り物を交換する習慣があります。	Removing your shoes indoors is a common custom in Japan.	屋内で靴を脱ぐことは日本ではよくある慣習だ。
customary	It is customary to exchange gifts during the holiday season in many countries.	多くの国では、祝祭期に贈り物を交換することが習慣です。	It is customary in Japan to remove your shoes indoors.	日本では屋内で靴を脱ぐのが習慣的だ。
customer	The friendly customer thanked the barista for her excellent latte art skills.	親切な客は、バリスタの素晴らしいラテアート技術に感謝しました。	The shop owner greeted every customer with a warm smile.	その店主はすべての客を温かい笑顔で迎えた。
cut	The chef carefully cut the vegetables into small, uniform pieces for the salad.	料理人はサラダのために野菜を小さく均一な大きさに切りました。	She accidentally cut her finger while chopping vegetables for dinner.	彼女は夕食用の野菜を切っている最中に誤って指を切ってしまった。
cut_back	The company decided to cut back on travel expenses to reduce operational costs this year.	会社は今年の運営コストを下げるために、出張費を削減することを決定した。	After the accident, he decided to cut back on caffeine.	その事故の後、彼はカフェインを減らすことに決めた。
cut_back_on	The company decided to cut back on unnecessary expenses to improve its profitability.	会社は利益率を改善するために、不要な経費を削減することに決定しました。	Rising costs forced the family to cut back on groceries.	物価上昇はその家族に食料品への支出を削減することを強いた。
cut_down_back_on	The doctor advised him to cut back on his sugar intake for better health.	医者は彼に健康のために砂糖の摂取量を減らすように忠告した。	The doctor told him to cut down on salt.	医師は彼に塩分を減らすように言った。
cut_down_on	My doctor advised me to cut down on my sugar intake for better health.	医者は私の健康のために砂糖の摂取量を減らすようにアドバイスしてくれました。	Doctors advised him to cut down on sugary drinks immediately.	医師たちは彼に甘い飲み物をすぐに減らすよう助言した。
cut_in	The impatient driver cut in right in front of my car at the intersection.	あのせっかちなドライバーは、交差点で私の車の前に割り込みました。	She kept trying to cut in during the heated debate.	彼女は激しい討論の間、何度も口をはさもうとした。
cut_in_on	Please don't cut in on our conversation; we weren’t finished speaking.	私たちの会話に割り込まないでください、話し終わっていませんでした。	The reckless driver suddenly cut in on the busy highway.	その無謀な運転手は混雑した高速道路で突然割り込んできた。
cut_off	The storm cut off the power to several neighborhoods last night.	昨夜、嵐でいくつかの地域への電気が遮断された。	She carefully cut off the wilted flowers from the plant.	彼女は植物からしおれた花を注意深く切り取った。
cute	The little puppy with big eyes is incredibly cute and playful.	大きな目をした小さな子犬はとても可愛くて元気です。	Everyone thought the puppy in the video looked incredibly cute.	動画の中の子犬を見て，誰もが信じられないほどかわいいと思った。
cyberspace	The company invested heavily in security measures for their systems within cyberspace.	その会社はサイバースペース内のシステムに対するセキュリティ対策に多額の投資をしました。	Many crimes today take place entirely within cyberspace.	今日、多くの犯罪は完全にサイバースペースの中で起きている。
cycle	Many animals have a yearly cycle of migration and reproduction, dictated by the seasons.	多くの動物は季節によって左右される、移動と繁殖の年次サイクルを持っています。	The moon completes its cycle in about a month.	月はおよそ1か月でその周期を終える。
cynical	His cynical remarks about politics revealed a deep disappointment in the system.	彼の政治に対する冷笑的なコメントは、システムへの深い失望を明らかにしました。	After years of broken promises, he grew deeply cynical about politics.	何年もの破られた約束の末、彼は政治に対して深く軽蔑的になった。
dagger	The museum displayed a ceremonial dagger from the ancient Roman Empire.	博物館では、古代ローマ帝国時代の儀式用の短剣が展示されていました。	The soldier kept a small dagger hidden inside his boot.	その兵士は小さな短剣をブーツの中に隠し持っていた。
daily	She takes a daily walk in the park to clear her head and enjoy the fresh air.	彼女は頭をすっきりさせ、新鮮な空気を楽しむために毎日公園を散歩します。	Keeping a daily journal helped him understand his own emotions better.	毎日の日記をつけることは，彼が自分の感情をよりよく理解する助けになった。
dairy	The dairy farm produces a wide range of delicious cheeses and yogurts for local consumers.	その酪農場は地元の消費者に、様々な美味しいチーズとヨーグルトを生産しています。	Her diet no longer includes any dairy or red meat.	彼女の食事にはもう乳製品も赤身肉も含まれていない。
damage	The storm caused significant damage to the coastal properties and infrastructure.	その嵐は沿岸部の不動産やインフラにかなりの損害を与えました。	The earthquake caused severe damage to nearby farms.	その地震は近くの農場に深刻な損害を与えた。
damp	The basement felt damp and cold after days of heavy rain.	数日間の大雨の後、地下室は湿っていて寒かったです。	That basement felt cold and damp after the heavy rain.	あの地下室は大雨の後、冷たく湿っていた。
danger	Ignoring the warning signs placed near the cliff edge is incredibly dangerous.	崖の近くに設置された警告標識を無視することは非常に危険です。	Ignoring the warning signs put every hiker in serious danger.	警告標識を無視することはすべての登山者を深刻な危険にさらした。
dangerous	Driving too fast on icy roads is incredibly dangerous and should be avoided at all costs.	凍った道路でスピードを出し過ぎることは非常に危険であり、絶対に避けるべきです。	Crossing that narrow bridge alone at night seemed extremely dangerous.	夜に一人であの狭い橋を渡ることは非常に危険に思えた。
dare	He dared to challenge the established norms and propose innovative solutions for the company’s problems.	彼は既存の規範に挑戦し、会社の抱える問題に対する革新的な解決策を提案する勇気を出しました。	None of the villagers dared to enter the abandoned house.	村人の誰もその廃屋に思い切って入ろうとしなかった。
dare_to_do	She dared to question the CEO’s decision during the important meeting.	彼女は重要な会議中に、CEOの決定をあえて疑問視しました。	She finally dared to speak up during the long meeting.	彼女はついに長い会議中に思い切って発言した。
daring	Her daring plan to climb Mount Everest impressed everyone on the team.	彼女のエベレスト登頂という大胆な計画は、チームの全員を感銘させました。	The daring rescue impressed everyone watching the news that night.	その大胆な救出劇はその夜ニュースを見ていた誰もを感心させた。
dark	The forest was dark and mysterious, filled with unfamiliar sounds.	その森は暗くて神秘的で、聞き慣れない音がたくさんありました。	By six in winter, the street outside grew completely dark.	冬には6時までに外の通りはすっかり暗くなった。
data	The company analyzed the data to identify trends in customer behavior.	その会社は、顧客の行動における傾向を特定するためにデータを分析しました。	Researchers collected data from over a thousand participants nationwide.	研究者たちは全国で1000人を超える参加者からデータを集めた。
database	Researchers accessed a large database of scientific articles for their study.	研究者たちは、彼らの研究のために科学記事の大規模なデータベースにアクセスしました。	That library recently switched to a searchable online database.	あの図書館は最近検索可能なオンラインデータベースに切り替えた。
date	Please remember to mark the date of the important meeting on your calendar.	重要な会議の日付をカレンダーに書き込んでおいてください。	They have not yet decided the date of the wedding.	彼らは結婚式の日にちをまだ決めていない。
date_back_to	This ancient temple dates back to the 8th century, showcasing remarkable architecture.	この古代の寺院は８世紀に遡り、素晴らしい建築様式を誇っています。	This ancient temple dates back to the eighth century.	この古代の寺院は8世紀にさかのぼる。
date_from	This ancient tradition dates from centuries before the Roman Empire was established.	この古い伝統は、ローマ帝国が確立される前から何世紀も前に遡ります。	The ancient custom is said to date from the twelfth century.	その古来の習慣は12世紀にさかのぼると言われている。
dawn	The dawn brought a fresh start and renewed hope after the difficult period.	夜明けは困難な時期の後、新たな始まりと希望をもたらしました。	Fishermen left the harbor just before dawn broke.	漁師たちは夜明けが訪れる直前に港を出た。
dawn_on	The truth slowly dawned on him as he listened to the evidence.	彼が証拠を聞くにつれて、真実がゆっくりと思い始めました。	It suddenly dawned on her that she had forgotten the tickets.	彼女は突然、チケットを忘れたことにわかり始めた。
day_after_day	Day after day, she practiced the piano, determined to improve her skills.	彼女は毎日毎日ピアノの練習をして、スキルを向上させる決意をしました。	Day after day, the farmer watered the young plants without complaint.	来る日も来る日も、その農夫は不平を言わずに若い植物に水をやった。
daylight	We need to finish this project before daylight fades, or we'll be working late.	日が暮れる前にこのプロジェクトを終えなければ、遅くまで働くことになります。	Rescue workers searched the forest until daylight faded completely.	救助隊員たちは昼間がすっかり消えるまで森を捜索した。
dazed	After the accident, she felt dazed and struggled to remember what had happened.	事故の後、彼女は呆然とし、何が起こったのか思い出すのに苦労しました。	The dazed survivor could barely remember the accident afterward.	その呆然とした生存者はその後事故をほとんど思い出せなかった。
dazzle	The city lights dazzled her as she stood on the rooftop, overlooking the skyline.	彼女は屋上からスカイラインを見下ろしながら、街の灯りに目を奪われました。	Bright stage lights momentarily dazzled the nervous young performer.	明るいステージの照明は緊張した若い演者の目を一瞬くらませた。
dead	After the plant had been exposed to the sun for too long, it was completely dead.	植物が太陽に長時間さらされた後、完全に死んでしまいました。	The hunter was surprised to find the old fox already dead.	その猟師は年老いたキツネがすでに死んでいるのを見つけて驚いた。
deadline	I missed the deadline for submitting my application due to a family emergency.	私は家族の緊急事態のため、申請書の提出期限を過ぎてしまいました。	Reporters scrambled to finish the article before the deadline.	記者たちは締め切りの前に記事を仕上げようと急いだ。
deadlock	Negotiations reached a deadlock when both sides refused to compromise further.	両者がこれ以上譲歩しないため、交渉は行き詰まりました。	Negotiations between the two nations reached a complete deadlock.	両国間の交渉は完全な行き詰まりに達した。
deadly	The venom of the snake was deadly, requiring immediate medical attention.	そのヘビの毒は致命的で、直ちに医療処置が必要です。	A single mistake in that lab could prove deadly.	あの研究室でのたった一つのミスが致命的なものになりかねない。
deaf	The deaf student skillfully used sign language to communicate with his classmates during the presentation.	その耳が聞こえない学生は、発表中にクラスメートとコミュニケーションをとるために巧みに手話を使いました。	Her grandfather has been completely deaf since early childhood.	彼女の祖父は幼い頃から完全に耳が聞こえない。
deal	The company made a lucrative deal with a new supplier last month.	その会社は先月、新しいサプライヤーと有利な取引を結びました。	She spends a great deal of time reading scientific journals.	彼女は科学雑誌を読むことにかなりの量の時間を費やす。
deal_in	My uncle's shop deals in antique furniture and rare books.	私の叔父の店は、アンティーク家具や珍しい本を扱っています。	This small shop deals in rare antique coins and stamps.	この小さな店は希少な古銭や切手を取り扱っている。
deal_out	She dealt out the cards carefully, ensuring each player received an equal number.	彼女はカードを丁寧に配り、各プレイヤーが同じ数のカードを受け取るように注意した。	The teacher dealt out sheets of paper to every student.	先生はすべての生徒に紙を分配した。
deal_with	The manager needs to deal with the customer's complaint calmly and professionally.	マネージャーは、顧客の苦情を冷静かつプロフェッショナルに対応する必要があります。	Nurses must deal with unexpected emergencies calmly during a night shift.	看護師たちは夜勤中に予期せぬ緊急事態に冷静に対処しなければならない。
dear	My dear grandmother always sends me a birthday card every year.	私の大切な祖母は毎年誕生日のカードを送ってくれます。	She began the letter with the words, "My dear friend."	彼女は手紙を「親愛なる友へ」という言葉で始めた。
death	Her passing brought immense sadness, but we cherish the memories of her life and death.	彼女の死は大きな悲しみをもたらしたが、私たちは彼女の人生と死の記憶を大切にする。	The sudden death of the king shocked the entire kingdom.	その王の突然の死は王国全体に衝撃を与えた。
debatable	Whether artificial intelligence poses a threat is still a debatable topic among experts.	人工知能が脅威となるかどうかは、専門家たちの間で今も議論の余地のある話題です。	Whether the policy actually works remains highly debatable.	その政策が実際に機能するかどうかは大いに議論の余地がある。
debate	The students will debate the merits of artificial intelligence in a formal classroom setting.	生徒たちは、授業の場で人工知能の利点を討論する予定です。	Students held a heated debate about whether homework should be banned.	生徒たちは宿題を禁止すべきかどうかについて白熱した討論を行った。
debris	After the storm, the streets were covered in a thick layer of fallen leaves and other debris.	嵐の後、通りは落ち葉やその他の瓦礫で厚く覆われていました。	Workers spent weeks clearing debris left by the earthquake.	作業員たちは地震が残した残骸を片付けるのに数週間費やした。
debt	The government is working to reduce the national debt and stabilize the economy.	政府は国の借金を減らし、経済を安定させるために取り組んでいます。	The young couple struggled for years to pay off their debt.	その若い夫婦は借金を返すために何年も苦労した。
