種類	デッキ	前	後
見出し語の復元	大学受験英熟語	set | 〔put；lay〕 aside ～ ～をを無視する ～を取っておく	set 〔put；lay〕 aside ～ | ～をを無視する ～を取っておく
見出し語の復元	大学受験英熟語	set off ( | ～) ～を点火させる 出発する	set off (～) | ～を点火させる 出発する
見出し語の復元	大学受験英熟語	shake hands (with | ～) （～と）握手する	shake hands (with ～) | （～と）握手する
見出し語の復元	大学受験英熟語	shy away (from | ～) （～を）避ける[敬遠する]	shy away (from ～) | （～を）避ける[敬遠する]
見出し語の復元	大学受験英熟語	so | ～ that ... 大変～なので... ...であるほど～	so ～ that ... | 大変～なので... ...であるほど～
見出し語の復元	大学受験英熟語	so that | ～ can do ～が…できるように	so that ～ can do | ～が…できるように
見出し語の復元	大学受験英熟語	so to speak | 〔say〕 いわば 言ってみれば	so to speak 〔say〕 | いわば 言ってみれば
見出し語の復元	大学受験英熟語	speaking | 〔talking〕 of ～ ～と言えば	speaking 〔talking〕 of ～ | ～と言えば
見出し語の復元	大学受験英熟語	spend | ～ (in) ...ing ～（時）を...して過ごす	spend ～ (in) ...ing | ～（時）を...して過ごす
見出し語の復元	大学受験英熟語	such (a | 〔an〕) 形容詞＋名詞＋that ... 大変～なので... ...するくらい～	such (a 〔an〕) | 形容詞＋名詞＋that ... 大変～なので... ...するくらい～
見出し語の復元	大学受験英熟語	take | ～ by surprise ～を驚かす、～の不意を打つ	take ～ by surprise | ～を驚かす、～の不意を打つ
見出し語の復元	大学受験英熟語	take | ～ for granted ～を当然のことと思う	take ～ for granted | ～を当然のことと思う
見出し語の復元	大学受験英熟語	take | ～ into account 〔consideration〕 ～を考慮に入れる	take ～ into account 〔consideration〕 | ～を考慮に入れる
見出し語の復元	大学受験英熟語	take | 〔have〕 pity on ～ ～をかわいそうに思って手を貸す ～に情けをかける	take 〔have〕 pity on ～ | ～をかわいそうに思って手を貸す ～に情けをかける
見出し語の復元	大学受験英熟語	take a chance | 〔chances〕 思い切ってやってみる	take a chance 〔chances〕 | 思い切ってやってみる
見出し語の復元	大学受験英熟語	take notice (of | ～) （～に）注目する、（～に）気づく	take notice (of ～) | （～に）注目する、（～に）気づく
見出し語の復元	大学受験英熟語	That | 〔This〕 is why ... そういう〔こういう〕わけで...	That 〔This〕 is why ... | そういう〔こういう〕わけで...
見出し語の復元	大学受験英熟語	that | 〔those〕 of ～ ～のそれ	that 〔those〕 of ～ | ～のそれ
見出し語の復元	大学受験英熟語	the last ( | ～) to do 決して...しない～ ...しそうにない～	the last (～) | to do 決して...しない～ ...しそうにない～
見出し語の復元	大学受験英熟語	the same | ～ as ... ...と同じ（ような）～	the same ～ as ... | ...と同じ（ような）～
見出し語の復元	大学受験英熟語	the time ( | ～) when ... ...する時	the time (～) | when ... ...する時
見出し語の復元	大学受験英熟語	think about | 〔of〕 ～ ～を思いつく ～のことを考える	think about 〔of〕 ～ | ～を思いつく ～のことを考える
見出し語の復元	大学受験英熟語	think much | 〔highly〕 of ～ ～を高く評価する、～を尊敬[尊重]する	think much 〔highly〕 of ～ | ～を高く評価する、～を尊敬[尊重]する
見出し語の復元	大学受験英熟語	think little | 〔nothing； poorly〕 of ～ ～を何とも思わない ～を軽んじる	think little 〔nothing； poorly〕 of ～ | ～を何とも思わない ～を軽んじる
見出し語の復元	大学受験英熟語	to | ～ extent/degree ～の程度に	to ～ extent/degree | ～の程度に
見出し語の復元	大学受験英熟語	to be frank (with | ～) （～に）率直に言って	to be frank (with ～) | （～に）率直に言って
見出し語の復元	大学受験英熟語	to begin | 〔start〕 with まず 第一に	to begin 〔start〕 with | まず 第一に
見出し語の復元	大学受験英熟語	to some | 〔a certain〕 extent ある程度	to some 〔a certain〕 extent | ある程度
見出し語の復元	大学受験英熟語	to the fullest | 〔full〕 十分に 思う存分	to the fullest 〔full〕 | 十分に 思う存分
見出し語の復元	大学受験英熟語	too | ～ (for A) to do （Aが）...するには～すぎる	too ～ (for A) to do | （Aが）...するには～すぎる
見出し語の復元	大学受験英熟語	turn | 〔hand 〕 in ～ ～を提出する	turn 〔hand 〕 in ～ | ～を提出する
見出し語の復元	大学受験英熟語	turn off ( | ～) （スイッチなど）を消す、（水・ガスなど）を止める、（明かりなどが）消える	turn off (～) | （スイッチなど）を消す、（水・ガスなど）を止める、（明かりなどが）消える
見出し語の復元	大学受験英熟語	turn on ( | ～) （スイッチなど）をつける、（水・ガスなど）を出す、（明かりなどが）つく	turn on (～) | （スイッチなど）をつける、（水・ガスなど）を出す、（明かりなどが）つく
見出し語の復元	大学受験英熟語	turn up ( | ～) ①現れる、起こる ②（ガス・音量など）を大きくする、～を探し出す	turn up (～) | ①現れる、起こる ②（ガス・音量など）を大きくする、～を探し出す
見出し語の復元	大学受験英熟語	wake up ( | ～) 目が覚める、（人）の目を覚まさせる	wake up (～) | 目が覚める、（人）の目を覚まさせる
見出し語の復元	大学受験英熟語	watch out (for | ～) （～に）気をつける、（～に）用心する	watch out (for ～) | （～に）気をつける、（～に）用心する
見出し語の復元	大学受験英熟語	what | ～ is 現在の～	what ～ is | 現在の～
見出し語の復元	大学受験英熟語	when | 〔while〕 ... ...時〔間〕（副詞節におけるS＋beの省略）	when 〔while〕 ... | ...時〔間〕（副詞節におけるS＋beの省略）
見出し語の復元	大学受験英熟語	with | ～ in mind ～を考慮して	with ～ in mind | ～を考慮して
見出し語の復元	大学受験英熟語	with | 〔in〕 regard to ～ ～に関して	with 〔in〕 regard to ～ | ～に関して
見出し語の復元	大学受験英熟語	work on ( | ～) ①働き続ける ②～に取り組む、～を手がける、～に影響を与える、（薬などが）～に効く	work on (～) | ①働き続ける ②～に取り組む、～を手がける、～に影響を与える、（薬などが）～に効く
見出し語の復元	大学受験英熟語	would [had] rather do (than | ～) （～するよりも）むしろ…したい	would [had] rather do (than ～) | （～するよりも）むしろ…したい
見出し語の復元	大学受験英熟語	X times as | ～ as ... ...のX倍～	X times as ～ as ... | ...のX倍～
見出し語の復元	大学受験英熟語	yearn | 〔long〕 for ～ ～を熱望〔切望〕する	yearn 〔long〕 for ～ | ～を熱望〔切望〕する
重複の統合	大学受験英熟語	let alone	→ 1枚に
重複の統合	大学受験英熟語	the	→ 1枚に
見出し語の復元	準一	clear up ( | ～)、(誤解など)を解く、(問題など)を解明する、～片付ける、晴れる	clear up (～) | 、(誤解など)を解く、(問題など)を解明する、～片付ける、晴れる
見出し語の復元	準一	close in (on | ～)、(～を)包囲する、(～に)追ってくる	close in (on ～) | 、(～を)包囲する、(～に)追ってくる
見出し語の復元	準一	cut back (on | ～)、(～を)削減[縮小]する	cut back (on ～) | 、(～を)削減[縮小]する
見出し語の復元	準一	cut down (on | ～)、(～を)減らす	cut down (on ～) | 、(～を)減らす
見出し語の復元	準一	cut in (on | ～)、(話などに)割り込む、さえぎる	cut in (on ～) | 、(話などに)割り込む、さえぎる
見出し語の復元	準一	drop back (to | ～)、(～に)後退する、順位が下がる	drop back (to ～) | 、(～に)後退する、順位が下がる
見出し語の復元	準一	drop out (of | ～)、(活動・集団から)身を引く、(学校を)中途退学する	drop out (of ～) | 、(活動・集団から)身を引く、(学校を)中途退学する
見出し語の復元	準一	get around ( | ～)、あちこち動き回る、歩き回る、～をうまく避ける、～を逃れる	get around (～) | 、あちこち動き回る、歩き回る、～をうまく避ける、～を逃れる
見出し語の復元	準一	give in (to | ～)、(～に)降参する、屈する、負ける	give in (to ～) | 、(～に)降参する、屈する、負ける
見出し語の復元	準一	hang around ( | ～)、(～を)ぶらつく、うろつく	hang around (～) | 、(～を)ぶらつく、うろつく
見出し語の復元	準一	head off ( | ～)、～を阻止する、～を回避する、出かける、立ち去る	head off (～) | 、～を阻止する、～を回避する、出かける、立ち去る
見出し語の復元	準一	hold out ( | ～)、(敵・逆境・圧力などに)もちこたえる、～を差し出す	hold out (～) | 、(敵・逆境・圧力などに)もちこたえる、～を差し出す
見出し語の復元	準一	leave off ( | ～)、(～を)やめる	leave off (～) | 、(～を)やめる
見出し語の復元	準一	make out ( | ～)、～を理解する、うまくやる	make out (～) | 、～を理解する、うまくやる
見出し語の復元	準一	play out ( | ～)、(物事・状況が)展開する、徐々に進展する、～を最後まで演じる	play out (～) | 、(物事・状況が)展開する、徐々に進展する、～を最後まで演じる
見出し語の復元	準一	pull back ( | ～)、後退する、～を後退させる、思いとどまる	pull back (～) | 、後退する、～を後退させる、思いとどまる
見出し語の復元	準一	roll in ( | ～)、(金など)がたくさんある、転がり込む、どっと集まる	roll in (～) | 、(金など)がたくさんある、転がり込む、どっと集まる
見出し語の復元	準一	set off ( | ～)、出発する、～を引き起こす、～を作動させる	set off (～) | 、出発する、～を引き起こす、～を作動させる
見出し語の復元	準一	settle up (with | ～)、(～と)精算する、(～に)勘定を支払う	settle up (with ～) | 、(～と)精算する、(～に)勘定を支払う
見出し語の復元	準一	show off ( | ～)、いいところを見せる、～を見せびらかす	show off (～) | 、いいところを見せる、～を見せびらかす
見出し語の復元	準一	split up ( | ～)、別れる、分裂する、～を分裂させる	split up (～) | 、別れる、分裂する、～を分裂させる
見出し語の復元	準一	stand down (as | ～)、(公職など)を辞任する	stand down (as ～) | 、(公職など)を辞任する
見出し語の復元	準一	throw up ( | ～)、嘔吐する、(食べ物)を吐く	throw up (～) | 、嘔吐する、(食べ物)を吐く
見出し語の復元	準一	tip over ( | ～)、ひっくり返る、倒れる、～をひっくり返す	tip over (～) | 、ひっくり返る、倒れる、～をひっくり返す
見出し語の復元	準一	tune in (to | ～)、(局・番組などに)テレビ[ラジオ]のチャンネルを合わせる	tune in (to ～) | 、(局・番組などに)テレビ[ラジオ]のチャンネルを合わせる
見出し語の復元	準一	tune up ( | ～)、(楽器)を調律する、(エンジン・機械など)を整備する、調律する	tune up (～) | 、(楽器)を調律する、(エンジン・機械など)を整備する、調律する
見出し語の復元	準一	turn around ( | ～)、(商売・経済など)を好転させる、～の向きを変える、好転する	turn around (～) | 、(商売・経済など)を好転させる、～の向きを変える、好転する
見出し語の復元	準一	turn in ( | ～)、～を提出する、寝る	turn in (～) | 、～を提出する、寝る
訳の誤り	大学入試英単語網羅版	calling: 転職、職業	天職、職業
訳の誤り	大学入試英単語網羅版	chemistry: 科学	化学
訳の誤り	大学入試英単語網羅版	frost: 霧（が降りる）	霜（が降りる）
訳の誤り	大学入試英単語網羅版	hibernation: 島民	冬眠
訳の誤り	大学入試英単語網羅版	illumination: 証明、(複数形で)イルミネーション	照明，イルミネーション
見出し語の復元	鉄壁	talk | ～into doing ～に説得する	talk ～into doing | ～に説得する
訳の誤り	鉄壁	chemistry: 科学	化学
見出し語の復元	鉄壁	get | ～ across ～を伝える、分かってもらう	get ～ across | ～を伝える、分かってもらう
見出し語の復元	鉄壁	let | ～ in ～を中に入れる	let ～ in | ～を中に入れる
見出し語の復元	鉄壁	take | ～ for granted 当然とみなす	take ～ for granted | 当然とみなす
見出し語の復元	鉄壁	set | ～ free ～を解放する	set ～ free | ～を解放する
重複の統合	鉄壁	diet	→ 1枚に
見出し語の復元	英熟語ターゲット1000	a great/good deal (of | ～) たくさん（の～）	a great/good deal (of ～) | たくさん（の～）
見出し語の復元	英熟語ターゲット1000	be married (to | ～) （～と）結婚している	be married (to ～) | （～と）結婚している
見出し語の復元	英熟語ターゲット1000	get on ( | ～) ①（公共の乗り物など）に乗る ②仲良くやっていく、（なんとか）やっていく	get on (～) | ①（公共の乗り物など）に乗る ②仲良くやっていく、（なんとか）やっていく
見出し語の復元	英熟語ターゲット1000	wake up ( | ～) 目が覚める、（人）の目を覚まさせる	wake up (～) | 目が覚める、（人）の目を覚まさせる
見出し語の復元	英熟語ターゲット1000	figure out ( | ～) ～を理解する、～を計算する、～を解く	figure out (～) | ～を理解する、～を計算する、～を解く
見出し語の復元	英熟語ターゲット1000	turn out ( | ～) ①～であることが分かる、（結果的に）～になる ②～を産出する ③（催しなどに）繰り出す	turn out (～) | ①～であることが分かる、（結果的に）～になる ②～を産出する ③（催しなどに）繰り出す
見出し語の復元	英熟語ターゲット1000	work on ( | ～) ①働き続ける ②～に取り組む、～を手がける、～に影響を与える、（薬などが）～に効く	work on (～) | ①働き続ける ②～に取り組む、～を手がける、～に影響を与える、（薬などが）～に効く
見出し語の復元	英熟語ターゲット1000	turn on ( | ～) （スイッチなど）をつける、（水・ガスなど）を出す、（明かりなどが）つく	turn on (～) | （スイッチなど）をつける、（水・ガスなど）を出す、（明かりなどが）つく
見出し語の復元	英熟語ターゲット1000	turn off ( | ～) （スイッチなど）を消す、（水・ガスなど）を止める、（明かりなどが）消える	turn off (～) | （スイッチなど）を消す、（水・ガスなど）を止める、（明かりなどが）消える
見出し語の復元	英熟語ターゲット1000	take off ( | ～) ①～を脱ぐ、～を取り除く ②離陸する、（流行・売り上げなどが）急増［急伸］する ③～を休暇としてとる	take off (～) | ①～を脱ぐ、～を取り除く ②離陸する、（流行・売り上げなどが）急増［急伸］する ③～を休暇としてとる
見出し語の復元	英熟語ターゲット1000	get together ( | ～) 集まる、～を集める	get together (～) | 集まる、～を集める
見出し語の復元	英熟語ターゲット1000	calm down ( | ～) ～を落ち着かせる［静める］、落ち着く［静まる］	calm down (～) | ～を落ち着かせる［静める］、落ち着く［静まる］
見出し語の復元	英熟語ターゲット1000	play a role/part (in | ～) （～で）役割を演じる［果たす］	play a role/part (in ～) | （～で）役割を演じる［果たす］
見出し語の復元	英熟語ターゲット1000	make sure ( | ～) （～を）確かめる、確実に～をする	make sure (～) | （～を）確かめる、確実に～をする
見出し語の復元	英熟語ターゲット1000	have/take | ～ off ～を休みとしてとる	have/take ～ off | ～を休みとしてとる
見出し語の復元	英熟語ターゲット1000	as | ～ as possible/one can できる限り～	as ～ as possible/one can | できる限り～
見出し語の復元	英熟語ターゲット1000	as a result (of | ～) （～の）結果として	as a result (of ～) | （～の）結果として
見出し語の復元	英熟語ターゲット1000	in addition (to | ～) （～に）加えて、さらに	in addition (to ～) | （～に）加えて、さらに
見出し語の復元	英熟語ターゲット1000	all over ( | ～) （～の）至る所に［で］、一面に	all over (～) | （～の）至る所に［で］、一面に
見出し語の復元	英熟語ターゲット1000	so | ～ that … （結果を表して）非常に～なので…する	so ～ that … | （結果を表して）非常に～なので…する
見出し語の復元	英熟語ターゲット1000	carry on ( | ～) （～を）続ける = happen, occur	carry on (～) | （～を）続ける = happen, occur
見出し語の復元	英熟語ターゲット1000	learn | ～ by heart ～を暗記する = memorize	learn ～ by heart | ～を暗記する = memorize
見出し語の復元	英熟語ターゲット1000	on board ( | ～) （乗り物）に乗って、乗って（た） = aboard	on board (～) | （乗り物）に乗って、乗って（た） = aboard
見出し語の復元	英熟語ターゲット1000	leave | ～ alone ～をそのままにしておく、～に干渉しない	leave ～ alone | ～をそのままにしておく、～に干渉しない
見出し語の復元	英熟語ターゲット1000	in the way (of | ～) （～の）邪魔になって	in the way (of ～) | （～の）邪魔になって
見出し語の復元	英熟語ターゲット1000	on the way (to | ～) （～への）途中で	on the way (to ～) | （～への）途中で
見出し語の復元	英熟語ターゲット1000	make up ( | ～) ①～を構成する、～を作り上げる ②仲直りをする ③～の埋め合わせをする	make up (～) | ①～を構成する、～を作り上げる ②仲直りをする ③～の埋め合わせをする
見出し語の復元	英熟語ターゲット1000	show up ( | ～) ①（予定の所に）現れる ②目立つ、～を目立たせる	show up (～) | ①（予定の所に）現れる ②目立つ、～を目立たせる
見出し語の復元	英熟語ターゲット1000	turn up ( | ～) ①現れる、起こる ②（ガス・音量など）を大きくする、～を探し出す	turn up (～) | ①現れる、起こる ②（ガス・音量など）を大きくする、～を探し出す
見出し語の復元	英熟語ターゲット1000	give in ( | ～) ①屈服する ②～を提出する	give in (～) | ①屈服する ②～を提出する
見出し語の復元	英熟語ターゲット1000	give way (to | ～) （～に）屈服する、（～に）道を譲る	give way (to ～) | （～に）屈服する、（～に）道を譲る
見出し語の復元	英熟語ターゲット1000	become of | ～ （what, whatever を主語にして）	become of ～ （what, whatever | を主語にして）
見出し語の復元	英熟語ターゲット1000	live/lead a | ～ life ［～］の生活をする	live/lead a ～ life | ［～］の生活をする
見出し語の復元	英熟語ターゲット1000	have a say (in | ～) （～に）発言権［発言力］を持つ	have a say (in ～) | （～に）発言権［発言力］を持つ
見出し語の復元	英熟語ターゲット1000	do | ～ good （人）のためになる［役に立つ］	do ～ good | （人）のためになる［役に立つ］
見出し語の復元	英熟語ターゲット1000	get in touch (with | ～) （～と）連絡を取る	get in touch (with ～) | （～と）連絡を取る
見出し語の復元	英熟語ターゲット1000	keep/bear | ～ in mind ～を心に留めておく［忘れない］	keep/bear ～ in mind | ～を心に留めておく［忘れない］
見出し語の復元	英熟語ターゲット1000	take | ～ by surprise ～を驚かす、～の不意を打つ	take ～ by surprise | ～を驚かす、～の不意を打つ
見出し語の復元	英熟語ターゲット1000	on a | ～ basis ～の基準[原則]で	on a ～ basis | ～の基準[原則]で
見出し語の復元	英熟語ターゲット1000	on a | ～ scale ～な規模で[の]	on a ～ scale | ～な規模で[の]
見出し語の復元	英熟語ターゲット1000	to | ～ extent/degree ～の程度に	to ～ extent/degree | ～の程度に
見出し語の復元	英熟語ターゲット1000	from | ～ on/onward(s) ～から以後は	from ～ on/onward(s) | ～から以後は
見出し語の復元	英熟語ターゲット1000	from | ～ point of view ～の視点から（は）	from ～ point of view | ～の視点から（は）
見出し語の復元	英熟語ターゲット1000	what | ～ is 現在の～	what ～ is | 現在の～
見出し語の復元	英熟語ターゲット1000	cannot | ～ too … いくら～してもしすぎることはない	cannot ～ too … | いくら～してもしすぎることはない
見出し語の復元	英熟語ターゲット1000	the last | ～ to do 最も…しそうにない～	the last ～ to do | 最も…しそうにない～
見出し語の復元	英熟語ターゲット1000	catch | ～ doing （人）が…しているところを見つける[捕らえる]	catch ～ doing | （人）が…しているところを見つける[捕らえる]
見出し語の復元	英熟語ターゲット1000	would/had rather do (than | ～) （～するよりも）むしろ…したい	would/had rather do (than ～) | （～するよりも）むしろ…したい
見出し語の復元	英熟語ターゲット1000	as | ～ as any 誰[どれ]にも劣らず～	as ～ as any | 誰[どれ]にも劣らず～
見出し語の復元	英熟語ターゲット1000	not | ～ (in) the least まったく～ない	not ～ (in) the least | まったく～ない
見出し語の復元	英熟語ターゲット1000	as/so far as | ～ be concerned ～に関する限り	as/so far as ～ be concerned | ～に関する限り
見出し語の復元	英熟語ターゲット1000	as is often the case (with | ～) （～に関して）よくあることだが	as is often the case (with ～) | （～に関して）よくあることだが
見出し語の復元	英熟語ターゲット1000	as | ～ go 一般の～と比べると、～としては	as ～ go | 一般の～と比べると、～としては
見出し語の復元	英熟語ターゲット1000	(Just) As | ～, so … ちょうど～であるように…だ	(Just) As ～, so … | ちょうど～であるように…だ
見出し語の復元	英熟語ターゲット1000	hardly | ～ when/before … ～するかしないかのうちに…する	hardly ～ when/before … | ～するかしないかのうちに…する
見出し語の復元	英熟語ターゲット1000	(It is) True | ～, but … 確かに～だが、…だ	(It is) True ～, but … | 確かに～だが、…だ
見出し語の復元	英熟語ターゲット1000	no sooner | ～ than … ～するやいなや…する	no sooner ～ than … | ～するやいなや…する
見出し語の復元	英熟語ターゲット1000	It is not until | ～ that … ～になって初めて…する	It is not until ～ that … | ～になって初めて…する
見出し語の復元	英熟語ターゲット1000	the former | ～, the latter … 前者は～、後者は…	the former ～, the latter … | 前者は～、後者は…
見出し語の復元	英熟語ターゲット1000	be to blame (for | ～) （～に対して）責めを負うべきである[責任がある]	be to blame (for ～) | （～に対して）責めを負うべきである[責任がある]
見出し語の復元	英熟語ターゲット1000	spend | ～ (in) doing …して（時間・期間）を過ごす	spend ～ (in) doing | …して（時間・期間）を過ごす
見出し語の復元	英熟語ターゲット1000	so that | ～ can do ～が…できるように	so that ～ can do | ～が…できるように
見出し語の復元	英熟語ターゲット1000	lest | ～ (should) … ～が…しないように、～が…するといけないから	lest ～ (should) … | ～が…しないように、～が…するといけないから
見出し語の復元	英熟語ターゲット1000	give | ～ a try ～を試してみる	give ～ a try | ～を試してみる
見出し語の復元	英熟語ターゲット1000	give | ～ a hand ～に手を貸す	give ～ a hand | ～に手を貸す
見出し語の復元	英熟語ターゲット1000	see | ～ off ～を見送る	see ～ off | ～を見送る
見出し語の復元	英熟語ターゲット1000	ask | ～ a favor ～にお願いをする[頼む]	ask ～ a favor | ～にお願いをする[頼む]
見出し語の復元	英熟語ターゲット1000	pay a visit (to | ～） （～を）訪問する	pay a visit (to ～） | （～を）訪問する
見出し語の復元	英熟語ターゲット1000	serve | ～ right ～にとって当然の報いである	serve ～ right | ～にとって当然の報いである
見出し語の復元	英熟語ターゲット1000	know | ～ by sight ～の顔を（見て）知っている	know ～ by sight | ～の顔を（見て）知っている
見出し語の復元	英熟語ターゲット1000	pull | ～'s leg （口調で）～をからかう[かつぐ]	pull ～'s leg | （口調で）～をからかう[かつぐ]
見出し語の復元	英熟語ターゲット1000	have/take a look (at | ～) （～を）見る	have/take a look (at ～) | （～を）見る
見出し語の復元	英熟語ターゲット1000	What | ～ like? ～はどんなものか	What ～ like? | ～はどんなものか
見出し語の復元	英熟語ターゲット1000	What | ～ for? どうして～か何の目的で～か	What ～ for? | どうして～か何の目的で～か
見出し語の復元	英熟語ターゲット1000	hit it off (with | ～) （人と）仲良くなる[意気投合する]	hit it off (with ～) | （人と）仲良くなる[意気投合する]
見出し語の復元	英熟語ターゲット1000	be at odds (with | ～) （～と）食い違っている、（～と）反目し合っている	be at odds (with ～) | （～と）食い違っている、（～と）反目し合っている
見出し語の復元	英熟語ターゲット1000	be beside oneself (with | ～) （～で）我を忘れる、（～に）夢中である	be beside oneself (with ～) | （～で）我を忘れる、（～に）夢中である
見出し語の復元	英熟語ターゲット1000	shy away (from | ～) （～を）避ける[敬遠する]	shy away (from ～) | （～を）避ける[敬遠する]
見出し語の復元	英熟語ターゲット1000	follow through (on/with | ～) （～を）やり遂げる	follow through (on/with ～) | （～を）やり遂げる
見出し語の復元	英熟語ターゲット1000	make do (with | ～) （代用品などで）間に合わせる	make do (with ～) | （代用品などで）間に合わせる
見出し語の復元	英熟語ターゲット1000	take | ～ for granted ～を当然のことと思う	take ～ for granted | ～を当然のことと思う
見出し語の復元	英熟語ターゲット1000	take | ～ into account ～を考慮に入れる	take ～ into account | ～を考慮に入れる
見出し語の復元	英熟語ターゲット1000	take notice (of | ～) （～に）注目する、（～に）気づく	take notice (of ～) | （～に）注目する、（～に）気づく
見出し語の復元	英熟語ターゲット1000	keep | ～ company （人）と一緒にいる、（人）の相手をする、（話など）に付き合う	keep ～ company | （人）と一緒にいる、（人）の相手をする、（話など）に付き合う
見出し語の復元	英熟語ターゲット1000	look | ～ in the eye(s) ～の目を正視する	look ～ in the eye(s) | ～の目を正視する
見出し語の復元	英熟語ターゲット1000	put | ～ to use ～を利用する	put ～ to use | ～を利用する
見出し語の復元	英熟語ターゲット1000	see/do the sights (of | ～) （～の）観光をする	see/do the sights (of ～) | （～の）観光をする
見出し語の復元	英熟語ターゲット1000	get on | ～'s nerves ～の神経にさわる	get on ～'s nerves | ～の神経にさわる
見出し語の復元	英熟語ターゲット1000	hold/keep | ～ in check ～を抑える[食い止める]	hold/keep ～ in check | ～を抑える[食い止める]
見出し語の復元	英熟語ターゲット1000	have | ～ on one's mind ～を気にしている[心配している]	have ～ on one's mind | ～を気にしている[心配している]
見出し語の復元	英熟語ターゲット1000	at | ～'s disposal （人）の自由になって[使えて]	at ～'s disposal | （人）の自由になって[使えて]
見出し語の復元	英熟語ターゲット1000	(enough) | ～ to go around 全員に行き渡るだけの～	(enough) ～ to go around | 全員に行き渡るだけの～
見出し語の復元	英熟語ターゲット1000	in store (for | ～) （～のために）用意して、（～の身に）降りかかろうとして	in store (for ～) | （～のために）用意して、（～の身に）降りかかろうとして
見出し語の復元	英熟語ターゲット1000	on the | ～ side ～気味で[の]	on the ～ side | ～気味で[の]
見出し語の復元	英熟語ターゲット1000	on | ～ terms with … …と～の関係[間柄]で	on ～ terms with … | …と～の関係[間柄]で
見出し語の復元	英熟語ターゲット1000	part and parcel (of | ～) （～の）不可分の要素、（～の）最重要部分	part and parcel (of ～) | （～の）不可分の要素、（～の）最重要部分
見出し語の復元	英熟語ターゲット1000	at | ～'s convenience ～の都合の良いときに	at ～'s convenience | ～の都合の良いときに
